Page total likes,Type,Category,Post Month,Post Weekday,Post Hour,Paid,Total Reach,Total Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Consumptions,Lifetime Post Impressions by people who have liked your Page,reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Total Interactions
139441,Photo,2,12,4,3,No,2752,5091,178,109,159,3078,1640,119,4,79,17,100
139441,Status,2,12,3,10,No,10460,19057,1457,1361,1674,11710,6112,1108,5,130,29,164
139441,Photo,3,12,3,3,No,2413,4373,177,113,154,2812,1503,132,0,66,14,80
139441,Photo,2,12,2,10,Yes,50128,87991,2211,790,1119,61027,32048,1386,58,1572,147,1777
139441,Photo,2,12,2,3,No,7244,13594,671,410,580,6228,3200,396,19,325,49,393
139441,Status,2,12,1,9,No,10472,20849,1191,1073,1389,16034,7852,1016,1,152,33,186
139441,Photo,3,12,1,3,Yes,11692,19479,481,265,364,15432,9328,379,3,249,27,279
139441,Photo,3,12,7,9,Yes,13720,24137,537,232,305,19728,11056,422,0,325,14,339
139441,Status,2,12,7,3,No,11844,22538,1530,1407,1692,15220,7912,1250,0,161,31,192
139441,Photo,3,12,6,10,No,4694,8668,280,183,250,4309,2324,199,3,113,26,142
139441,Status,2,12,5,10,No,21744,42334,4258,4100,4540,37849,18952,3798,0,233,19,252
139441,Photo,2,12,5,10,No,3112,5590,208,127,145,3887,2174,165,0,88,18,106
139441,Photo,2,12,5,10,No,2847,5133,193,115,133,3779,2072,152,0,90,14,104
139441,Photo,2,12,5,3,No,2549,4896,249,134,168,3631,1917,183,5,137,10,152
138414,Photo,2,12,4,5,Yes,22784,39941,887,337,417,34415,19312,684,2,577,20,599
138414,Status,2,12,3,10,No,10060,19680,1264,1209,1425,17272,8548,1162,4,86,18,108
138414,Photo,3,12,3,3,No,1722,2981,163,123,148,1868,1050,123,2,40,12,54
138414,Photo,1,12,2,12,Yes,53264,111785,1706,1103,1655,92512,39776,1307,15,678,20,713
138414,Status,3,12,2,3,No,3930,7509,130,86,112,5009,2410,101,4,54,17,75
138414,Photo,3,12,1,11,No,1591,2825,121,88,111,2116,1161,100,0,34,8,42
138414,Photo,2,12,1,3,No,2848,5066,200,142,184,3561,1963,157,3,66,12,81
138414,Photo,1,12,7,10,No,1384,2467,15,15,20,2196,1172,15,0,0,0,0
138414,Link,1,12,7,10,No,3454,6853,118,104,130,6282,3100,106,0,16,2,18
138414,Photo,3,12,7,3,No,2723,4888,176,118,143,2964,1621,143,0,72,24,96
138414,Status,2,12,6,10,No,8488,15294,1341,1270,1489,9684,5244,995,3,99,19,121
138458,Status,2,12,6,3,No,8284,15104,1521,1462,1711,10266,5372,1200,0,88,18,106
138458,Status,2,12,5,11,No,19552,34143,2806,2531,3420,17748,9824,1779,10,412,72,494
138458,Photo,3,12,5,3,No,2478,4306,212,124,149,2612,1443,166,0,100,17,117
138895,Photo,2,12,5,3,No,9560,18264,973,559,885,9217,4748,621,36,523,63,622
138895,Video,1,12,4,11,Yes,36208,61262,1141,1068,1728,30131,14112,559,18,143,13,174
138895,Photo,2,12,4,2,No,4940,9390,385,306,501,5860,2930,273,33,107,22,162
138895,Photo,2,12,3,10,No,1683,2929,192,171,221,1585,858,131,1,27,11,39
138895,Photo,3,12,3,3,No,5280,9578,368,237,345,4480,2422,268,2,155,47,204
138895,Photo,3,12,2,9,No,3002,5318,268,185,247,3039,1676,194,4,98,23,125
138895,Photo,1,12,2,3,No,3766,7149,298,260,431,5782,2938,244,2,56,17,75
138895,Photo,2,12,1,11,No,4512,7808,423,284,431,5183,2954,316,6,172,21,199
138895,Photo,3,12,1,3,No,2690,4628,252,168,226,3052,1727,199,0,96,17,113
138895,Photo,1,12,7,10,Yes,19800,28663,479,424,805,5187,2752,248,16,76,8,100
138895,Status,2,12,7,9,No,17576,33058,5352,5202,6547,23135,11792,4104,11,227,31,269
138895,Photo,1,12,7,3,No,3290,6085,306,284,402,4986,2584,247,1,44,14,59
138895,Status,2,12,6,11,No,13280,24198,2055,1912,2720,17627,9344,1716,7,216,39,262
138895,Link,1,12,6,3,Yes,18480,28438,517,366,460,12078,6752,319,6,187,18,211
138353,Photo,1,12,5,10,No,7268,13989,2087,2079,12074,13544,7096,1975,7,26,3,36
138353,Link,1,12,5,3,Yes,2645,4270,134,109,170,2330,1377,101,7,29,10,46
138353,Photo,1,12,4,11,No,4284,8387,355,316,513,7283,3634,291,0,47,11,58
138353,Link,1,12,4,3,Yes,7968,13023,206,158,223,6734,3492,138,4,57,10,71
138353,Status,1,12,3,11,No,16576,30612,3572,3464,4802,24363,12888,3014,4,174,36,214
138353,Link,1,12,3,2,No,1925,3481,97,83,126,2307,1180,77,6,18,8,32
138353,Photo,1,12,2,11,No,3786,7329,338,283,450,6336,3216,280,0,77,15,92
138353,Link,1,12,2,2,No,1536,3094,84,76,99,2903,1407,76,1,12,1,14